card_id,review_time,review_rating,review_state,review_duration,tag
4692,1747833273321,3,0,75276,#!國考題
4716,1747833295101,4,0,10428,#!國考題
3914,1747833405130,4,0,1120,#!國考題
2362,1747833425312,3,0,16316,#!國考題
1155,1747833596572,3,0,158409,#!國考題
1310,1747833629170,4,0,27347,#!國考題
1293,1747833656696,4,0,19098,#!國考題
3895,1747833714980,3,0,46235,#!國考題
4797,1747833752023,3,0,25641,#!國考題
1134,1747833851295,4,0,81147,#!國考題
4122,1747833979008,4,0,49496,#!國考題
2850,1747833996379,4,0,14374,#!國考題
4664,1747834017919,2,0,14186,#!國考題
3929,1747834038156,3,0,15703,#!國考題
1103,1747834052781,2,0,2481,#!國考題
1255,1747834066497,2,0,5156,#!國考題
4718,1747834139640,4,0,59893,#!國考題
3886,1747834149008,4,0,3565,#!國考題
3969,1747834284589,2,0,123458,#!國考題
2039,1747887755845,4,0,14589,#!國考題
1977,1747889685028,4,0,341752,#!國考題
2173,1748438567201,4,0,193645,#!國考題
2157,1748438597164,4,0,18246,#!國考題
2160,1748438643680,2,0,8293,#!國考題
2179,1748438754915,4,0,37768,#!國考題
2163,1748438760068,4,0,1123,#!國考題
2162,1748438798926,4,0,26308,#!國考題
2146,1748438895709,3,0,81533,#!國考題
4363,1748786339775,4,0,5161,#!國考題
4203,1748786354504,4,0,3118,#!國考題
4251,1748786387757,4,0,21298,#!國考題
4417,1748786412993,4,0,17771,#!國考題
4162,1748786441139,4,0,14877,#!國考題
2116,1748786504374,4,0,43407,#!國考題
4209,1748786533690,4,0,20086,#!國考題
2086,1748786623779,4,0,71036,#!國考題
2099,1748786760696,4,0,124407,#!國考題
3854,1748786796682,3,0,24862,#!國考題
3869,1748786802005,4,0,1417,#!國考題
2867,1748786828283,4,0,19215,#!國考題
2894,1748787347542,4,0,139285,#!國考題
4298,1748787378926,4,0,14720,#!國考題
7020,1748787472722,4,0,2350,#!國考題
4670,1748787483655,4,0,1271,#!國考題
4687,1748787499999,4,0,5453,#!國考題
4664,1748787539138,4,1,33476,#!國考題
4660,1748787583198,4,0,32616,#!國考題
4692,1748787617964,3,1,15336,#!國考題
4662,1748787625703,4,0,1934,#!國考題
4659,1748787645166,3,0,13342,#!國考題
5098,1748787652810,4,0,2524,#!國考題
7023,1748787696858,4,0,15920,#!國考題
4671,1748787746822,3,0,26908,#!國考題
4694,1748787770538,2,0,11511,#!國考題
4666,1748787833439,4,0,43510,#!國考題
4674,1748787837714,4,0,1262,#!國考題
4676,1748787846410,4,0,1755,#!國考題
4682,1748787853079,4,0,1109,#!國考題
4689,1748787859463,4,0,2342,#!國考題
4693,1748787865998,4,0,1140,#!國考題
4691,1748787907119,4,0,25380,#!國考題
4686,1748787926126,3,0,12485,#!國考題
7022,1748787966942,3,0,23719,#!國考題
4683,1748787977863,4,0,2283,#!國考題
4690,1748788057110,3,0,65409,#!國考題
4677,1748788064685,4,0,614,#!國考題
4681,1748788091663,2,0,6327,#!國考題
4656,1748788099210,4,0,966,#!國考題
4669,1748788141659,3,0,23572,#!國考題
4658,1748788157311,4,0,11767,#!國考題
4684,1748788200726,3,0,19659,#!國考題
7025,1748788214925,4,0,1768,#!國考題
4675,1748788219123,4,0,697,#!國考題
7021,1748788310165,3,0,76480,#!國考題
4673,1748788320840,4,0,1357,#!國考題
4668,1748788325947,4,0,474,#!國考題
4672,1748788360364,3,0,21583,#!國考題
4679,1748788375648,4,0,1953,#!國考題
4667,1748788459135,2,0,63895,#!國考題
7024,1748788473857,4,0,3874,#!國考題
4661,1748788485908,3,0,5203,#!國考題
4657,1748788497600,4,0,1177,#!國考題
2141,1748788576710,4,0,17350,#!國考題
2132,1748788601727,4,0,14965,#!國考題
2124,1748788624706,4,0,18159,#!國考題
2114,1748788925672,4,0,289744,#!國考題
2122,1748788956444,4,0,24118,#!國考題
2138,1748788996028,4,0,28555,#!國考題
2129,1748789035013,4,0,31904,#!國考題
2130,1748789085640,4,0,39970,#!國考題
2133,1748789248395,3,0,138412,#!國考題
6267,1748838153553,2,0,2595,#!詞彙連結
5758,1748838161023,4,0,794,#!詞彙連結
5772,1748838171292,4,0,975,#!詞彙連結
4501,1748838282601,4,0,1826,#!國考題
3111,1748838287641,4,0,1182,#!國考題
1818,1748838332687,2,0,14510,#!國考題
2712,1748838389861,4,0,1355,#!國考題
3336,1748838403879,4,0,1648,#!國考題
4450,1748838488204,2,0,23086,#!國考題
3147,1748838511282,4,0,3139,#!國考題
3381,1748838532861,4,0,8151,#!國考題
2494,1748838726201,3,0,161163,#!國考題
3061,1748838755075,4,0,1843,#!國考題
2482,1748838941125,3,0,174003,#!國考題
3327,1748839019878,3,0,70777,#!國考題
3614,1748839060514,2,0,24126,#!國考題
1756,1748839090334,4,0,5923,#!國考題
2378,1748839128847,2,0,12816,#!國考題
1817,1748839291551,4,0,96243,#!國考題
2380,1748839304705,4,0,1626,#!國考題
3734,1748839343886,4,0,3723,#!國考題
1859,1748859468771,4,0,5060,#!國考題
2036,1748859473766,4,0,1393,#!國考題
3870,1748859514358,4,0,28401,#!國考題
5079,1748859532936,3,0,10797,#!國考題
3874,1748859543091,4,0,2563,#!國考題
2166,1748859555916,4,0,3965,#!國考題
1972,1748859576924,4,0,12478,#!國考題
2226,1748859609086,4,0,25035,#!國考題
2907,1748859692210,2,0,52897,#!國考題
2052,1748859748716,3,0,29669,#!國考題
1900,1748859811869,4,0,40793,#!國考題
4425,1748860142315,3,0,304695,#!國考題
3799,1748860168656,4,0,13062,#!國考題
4286,1748860276171,4,0,20932,#!國考題
1889,1748860339862,4,0,44400,#!國考題
4183,1748860462386,4,0,108534,#!國考題
2861,1748860488495,4,0,18231,#!國考題
4235,1748860554841,4,0,52377,#!國考題
3810,1748860587901,4,0,19962,#!國考題
2893,1748861841304,4,0,23054,#!國考題
2902,1748861877679,4,0,24081,#!國考題
4316,1748861907141,4,0,17263,#!國考題
6929,1748862186616,4,0,12584,#!國考題
1888,1748862387168,4,0,27584,#!國考題
1898,1748862421940,4,0,17835,#!國考題
2033,1748862440392,4,0,12584,#!國考題
3837,1748862467911,4,0,18299,#!國考題
2105,1748862527440,4,0,38707,#!國考題
4195,1748862539020,4,0,2166,#!國考題
2317,1748862577999,4,0,25109,#!國考題
4352,1748862609824,4,0,15599,#!國考題
1891,1748862690856,4,0,67282,#!國考題
1914,1748862800578,4,1,81669,#!國考題
4186,1748862807201,4,0,1732,#!國考題
2858,1748862889560,4,0,68513,#!國考題
5065,1748862912007,4,0,6718,#!國考題
2303,1748862923580,4,0,3059,#!國考題
2061,1748862955321,4,0,17623,#!國考題
2115,1748862989365,4,0,27097,#!國考題
3871,1748863117388,4,0,117716,#!國考題
4357,1748863246248,4,0,120600,#!國考題
4405,1748863251633,4,0,1588,#!國考題
4351,1748863360574,4,0,92138,#!國考題
4406,1748863374517,4,0,3417,#!國考題
2215,1748863397571,4,0,1408,#!國考題
2133,1748863423536,4,1,11035,#!國考題
3803,1748863438574,4,0,6650,#!國考題
2320,1748863673091,3,0,207739,#!國考題
4163,1748863681822,3,0,4836,#!國考題
4353,1748863770497,4,0,61088,#!國考題
2310,1748863825106,4,0,39382,#!國考題
4385,1748863832651,4,0,1251,#!國考題
1923,1748863931271,4,1,2512,#!國考題
6922,1748863941518,4,0,1484,#!國考題
1861,1748863992924,4,0,24861,#!國考題
2307,1748864000514,4,0,1633,#!國考題
2167,1748864007091,4,0,1925,#!國考題
4177,1748864024732,4,0,8818,#!國考題
3818,1748864131206,4,0,34213,#!國考題
2912,1748864148374,4,0,5413,#!國考題
6934,1748864164123,4,0,11000,#!國考題
4173,1748864208367,4,0,35865,#!國考題
4367,1748864260524,2,0,33072,#!國考題
1905,1748864268302,4,0,1340,#!國考題
2911,1748864343470,3,0,68723,#!國考題
3831,1748864361283,4,0,3702,#!國考題
4271,1748864408812,4,0,43371,#!國考題
4231,1748864616688,4,0,185291,#!國考題
3855,1748864654557,4,0,29474,#!國考題
4167,1748864736684,3,0,68633,#!國考題
2045,1748864741701,4,0,1453,#!國考題
2084,1748864797863,3,0,39734,#!國考題
4210,1748864870422,2,0,64929,#!國考題
2171,1748865054862,2,0,172587,#!國考題
1949,1748865080617,4,2,8488,#!國考題
1916,1748865263908,4,1,161987,#!國考題
2298,1748865303652,4,0,20031,#!國考題
4252,1748865313470,4,0,1888,#!國考題
